city,city_ascii,state_name,lat,lng
Miamisburg,Miamisburg,Ohio,39.6322,-84.2724
Homewood,Homewood,Illinois,41.5591,-87.661
Broadview Heights,Broadview Heights,Ohio,41.3196,-81.6779
Lincolnia,Lincolnia,Virginia,38.8158,-77.1543
Alamo,Alamo,Texas,26.181,-98.1177
Universal City,Universal City,Texas,29.5521,-98.3074
Palm Valley,Palm Valley,Florida,30.2011,-81.3948
Lackawanna,Lackawanna,New York,42.8182,-78.8325
Nogales,Nogales,Arizona,31.3624,-110.9336
Lake Zurich,Lake Zurich,Illinois,42.1956,-88.087
Evergreen Park,Evergreen Park,Illinois,41.7213,-87.7013
Claremore,Claremore,Oklahoma,36.3146,-95.6095
Beltsville,Beltsville,Maryland,39.0394,-76.9211
Kinston,Kinston,North Carolina,35.2747,-77.5939
South El Monte,South El Monte,California,34.0493,-118.0484
Shelbyville,Shelbyville,Indiana,39.5352,-85.7793
Monroe,Monroe,Washington,47.8595,-121.9851
Forest Park,Forest Park,Georgia,33.6209,-84.359
Arvin,Arvin,California,35.1944,-118.8306
Punta Gorda,Punta Gorda,Florida,26.8941,-82.0513
Brigham City,Brigham City,Utah,41.5035,-112.0453
Holtsville,Holtsville,New York,40.8124,-73.0447
Lexington,Lexington,North Carolina,35.8018,-80.2682
Erlanger,Erlanger,Kentucky,39.0109,-84.5864
Hermosa Beach,Hermosa Beach,California,33.8653,-118.3962
East Massapequa,East Massapequa,New York,40.6742,-73.4359
West Mifflin,West Mifflin,Pennsylvania,40.3581,-79.9073
Orinda,Orinda,California,37.8808,-122.179
Hawthorne,Hawthorne,New Jersey,40.9579,-74.1582
Angleton,Angleton,Texas,29.1721,-95.4293
Clifton,Clifton,Colorado,39.0764,-108.4605
Lake Forest,Lake Forest,Illinois,42.238,-87.8596
Madisonville,Madisonville,Kentucky,37.3409,-87.5034
Bartow,Bartow,Florida,27.8868,-81.8214
Lynn Haven,Lynn Haven,Florida,30.2337,-85.637
Zachary,Zachary,Louisiana,30.6643,-91.1634
Sweetwater,Sweetwater,Florida,25.7785,-80.376
Sartell,Sartell,Minnesota,45.6188,-94.2206
Englewood,Englewood,Florida,26.9717,-82.3524
Prunedale,Prunedale,California,36.8064,-121.6555
Seabrook,Seabrook,Maryland,38.9802,-76.8502
Boone,Boone,North Carolina,36.2111,-81.6669
Prichard,Prichard,Alabama,30.7735,-88.1301
Brookfield,Brookfield,Illinois,41.8245,-87.847
Warrensburg,Warrensburg,Missouri,38.7627,-93.726
Stillwater,Stillwater,Minnesota,45.0573,-92.8313
Naples,Naples,Florida,26.1504,-81.7936
Twinsburg,Twinsburg,Ohio,41.322,-81.4451
Sudley,Sudley,Virginia,38.7878,-77.4961
Seminole,Seminole,Florida,27.8435,-82.784
Cutlerville,Cutlerville,Michigan,42.8403,-85.6734
Ashland,Ashland,Ohio,40.8668,-82.3156
Highland,Highland,Utah,40.4276,-111.7957
Hermiston,Hermiston,Oregon,45.8326,-119.2854
Maitland,Maitland,Florida,28.6295,-81.3718
Ferndale,Ferndale,Michigan,42.4592,-83.1313
Sherrelwood,Sherrelwood,Colorado,39.839,-105.0014
Valle Vista,Valle Vista,California,33.7436,-116.8871
Groveland,Groveland,Florida,28.6098,-81.8246
Roosevelt,Roosevelt,New York,40.6797,-73.5837
Orange,Orange,Texas,30.1226,-93.7607
Springboro,Springboro,Ohio,39.5615,-84.2348
Harrison,Harrison,New Jersey,40.7431,-74.1531
Maumelle,Maumelle,Arkansas,34.8522,-92.4
Badger,Badger,Alaska,64.8006,-147.3877
Tinton Falls,Tinton Falls,New Jersey,40.2708,-74.0949
Rosedale,Rosedale,California,35.3886,-119.2058
Deerfield,Deerfield,Illinois,42.1654,-87.8516
Cedar Mill,Cedar Mill,Oregon,45.5355,-122.8006
Durango,Durango,Colorado,37.2659,-107.8781
Knightdale,Knightdale,North Carolina,35.7911,-78.4966
Central Point,Central Point,Oregon,42.3764,-122.9111
Midlothian,Midlothian,Virginia,37.4856,-77.6522
White Oak,White Oak,Ohio,39.2106,-84.606
Lumberton,Lumberton,North Carolina,34.6312,-79.0186
Liberal,Liberal,Kansas,37.0466,-100.9295
Haslett,Haslett,Michigan,42.7525,-84.402
Tavares,Tavares,Florida,28.792,-81.7352
Winchester,Winchester,Kentucky,38.0018,-84.1908
Cocoa,Cocoa,Florida,28.382,-80.7675
Dixon,Dixon,California,38.4469,-121.825
Sylvania,Sylvania,Ohio,41.71,-83.7092
Cumberland,Cumberland,Maryland,39.6515,-78.7584
Cimarron Hills,Cimarron Hills,Colorado,38.8597,-104.6995
Point Pleasant,Point Pleasant,New Jersey,40.0772,-74.0702
Norwood,Norwood,Ohio,39.1605,-84.4535
North Valley Stream,North Valley Stream,New York,40.684,-73.7077
West Chester,West Chester,Pennsylvania,39.9601,-75.6058
